Status_of_existing_checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Savings_account_or_bonds,Present_employment_since,Installment_rate_in_percentage_of_disposable_income,Personal_status_and_sex,Other_debtors_or_guarantors,Present_residence_since,Property,Age_in_years,Other_installment_plans,Housing,Number_of_existing_credits_at_this_bank,Job,Number_of_people_being_liable_to_provide_maintenance_for,Telephone,Foreign_worker,Status
smaller_than_0_DM,48,critical_account_or_other_credits_existing,used_car,6143,smaller_than_100_DM,bigger_than_7_years,4,female_divorced_or_separated_or_married,none,4,unknown_or_no_property,58,stores,for_free,2,unskilled_or_resident,1,none,yes,2
smaller_than_0_DM,48,all_credits_at_this_bank_paid_back_duly,business,7685,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,2,female_divorced_or_separated_or_married,guarantor,4,car_or_other,37,none,rent,1,skilled_employee_or_official,1,none,yes,2
smaller_than_0_DM,36,existing_credits_paid_back_duly_till_now,others,15857,smaller_than_100_DM,unemployed,2,male_divorced_or_separated,co-applicant,3,car_or_other,43,none,own,1,management_or_self-employed_or_highly_qualified_employee_or_officer,1,none,yes,1
smaller_than_0_DM,6,existing_credits_paid_back_duly_till_now,furniture_or_equipment,1374,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,1,male_and_single,none,2,real_estate,36,bank,own,1,unskilled_or_resident,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,12,existing_credits_paid_back_duly_till_now,used_car,1413,bigger_than_1000_DM,bigger_than_4_smaller_than_7_years,3,male_and_single,none,2,building_society_savings_agreement_or_life_insurance,55,none,own,1,skilled_employee_or_official,1,none,no,1
bigger_than_0_DM_but_smaller_than_200_DM,60,existing_credits_paid_back_duly_till_now,new_car,7408,bigger_than_100_smaller_than_500_DM,smaller_than_1_year,4,female_divorced_or_separated_or_married,none,2,building_society_savings_agreement_or_life_insurance,24,none,own,1,management_or_self-employed_or_highly_qualified_employee_or_officer,1,none,yes,2
smaller_than_0_DM,45,no_credits_taken_or_all_credits_paid_back_duly,business,11816,smaller_than_100_DM,bigger_than_7_years,2,male_and_single,none,4,car_or_other,29,none,rent,2,skilled_employee_or_official,1,none,yes,2
bigger_than_0_DM_but_smaller_than_200_DM,24,existing_credits_paid_back_duly_till_now,radio_or_television,2039,smaller_than_100_DM,smaller_than_1_year,1,male_and_married_or_widowed,none,1,building_society_savings_agreement_or_life_insurance,22,none,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,2
smaller_than_0_DM,45,existing_credits_paid_back_duly_till_now,radio_or_television,1845,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,4,male_and_single,none,4,unknown_or_no_property,23,none,for_free,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,2
bigger_than_0_DM_but_smaller_than_200_DM,9,existing_credits_paid_back_duly_till_now,radio_or_television,1082,smaller_than_100_DM,bigger_than_7_years,4,male_and_single,none,4,car_or_other,27,none,own,2,unskilled_or_resident,1,none,yes,1
smaller_than_0_DM,12,existing_credits_paid_back_duly_till_now,furniture_or_equipment,7865,smaller_than_100_DM,bigger_than_7_years,4,male_and_single,none,4,unknown_or_no_property,53,none,for_free,1,management_or_self-employed_or_highly_qualified_employee_or_officer,1,"yes,_registered_under_the_customers_name",yes,2
no_checking_account,12,no_credits_taken_or_all_credits_paid_back_duly,furniture_or_equipment,2759,smaller_than_100_DM,bigger_than_7_years,2,male_and_single,none,4,building_society_savings_agreement_or_life_insurance,34,none,own,2,skilled_employee_or_official,1,none,yes,1
no_checking_account,15,critical_account_or_other_credits_existing,education,1532,bigger_than_100_smaller_than_500_DM,bigger_than_1_smaller_than_4_years,4,female_divorced_or_separated_or_married,none,3,car_or_other,31,none,own,1,skilled_employee_or_official,1,none,yes,1
smaller_than_0_DM,24,existing_credits_paid_back_duly_till_now,new_car,915,unknown_or_no_savings_account,bigger_than_7_years,4,female_divorced_or_separated_or_married,none,2,car_or_other,29,bank,own,1,skilled_employee_or_official,1,none,yes,2
smaller_than_0_DM,18,existing_credits_paid_back_duly_till_now,radio_or_television,2600,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,4,male_and_single,none,4,unknown_or_no_property,65,none,for_free,2,skilled_employee_or_official,1,none,yes,2
bigger_than_0_DM_but_smaller_than_200_DM,18,existing_credits_paid_back_duly_till_now,used_car,2779,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,1,male_and_married_or_widowed,none,3,car_or_other,21,none,rent,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,7,delay_in_paying_off_in_the_past,radio_or_television,846,unknown_or_no_savings_account,bigger_than_7_years,3,male_and_single,none,4,unknown_or_no_property,36,none,for_free,1,skilled_employee_or_official,1,none,yes,1
