Installment,Loan_Purpose,Loan_Application_Type,Interest_Rate,Last_Payment_Amount,Loan_Amount,Revolving_Balance,Delinquency_In_2_years,Inquiries_In_6_Months,Mortgage_Accounts,Grade,Open_Accounts,Revolving_Utilization_Rate,Total_Accounts,Fico_Range_Low,Fico_Range_High,Address_State,Employment_Length,Home_Ownership,Verification_Status,Annual_Income,Loan_Status
542.89,debt_consolidation,Individual,13.49,7729.73,16000.0,21397.0,1.0,1.0,0.0,C,11.0,59.9,34.0,665.0,669.0,DC,2_years,OWN,Source_Verified,180000.0,fullypaid
683.46,debt_consolidation,Individual,13.99,683.46,20000.0,17127.0,1.0,2.0,3.0,C,9.0,80.4,23.0,690.0,694.0,CA,<_1_year,RENT,Source_Verified,104000.0,chargedoff
329.91,home_improvement,Individual,11.53,1629.29,10000.0,4488.0,1.0,0.0,6.0,B,8.0,67.0,27.0,670.0,674.0,CA,7_years,MORTGAGE,Not_Verified,80000.0,fullypaid
1265.16,small_business,Joint_App,17.99,13003.11,35000.0,3224.0,0.0,1.0,0.0,D,2.0,29.3,7.0,670.0,674.0,FL,2_years,RENT,Source_Verified,80000.0,fullypaid
664.2,debt_consolidation,Individual,11.99,6391.52,20000.0,11838.0,0.0,0.0,0.0,B,8.0,58.3,23.0,705.0,709.0,TX,8_years,RENT,Source_Verified,65000.0,fullypaid
404.97,credit_card,Individual,13.11,404.68,12000.0,13021.0,0.0,1.0,4.0,B,10.0,85.1,26.0,660.0,664.0,AK,10+_years,MORTGAGE,Not_Verified,85000.0,fullypaid
286.3,debt_consolidation,Individual,17.27,3199.96,8000.0,4138.0,1.0,0.0,0.0,C,9.0,47.6,11.0,665.0,669.0,CA,3_years,RENT,Not_Verified,50000.0,fullypaid
702.33,debt_consolidation,Individual,24.85,22303.87,24000.0,7412.0,4.0,2.0,0.0,E,9.0,15.6,29.0,685.0,689.0,CT,3_years,RENT,Not_Verified,45000.0,fullypaid
377.0,home_improvement,Individual,20.5,10247.68,10075.0,7457.0,0.0,0.0,1.0,E,9.0,88.8,14.0,665.0,669.0,DE,2_years,MORTGAGE,Not_Verified,55000.0,fullypaid
131.97,credit_card,Individual,11.53,911.88,4000.0,4134.0,0.0,2.0,0.0,B,6.0,58.2,18.0,710.0,714.0,AR,2_years,RENT,Verified,40000.0,fullypaid
81.84,medical,Individual,10.99,9.75,2500.0,9386.0,0.0,0.0,2.0,B,7.0,92.0,21.0,675.0,679.0,NC,<_1_year,MORTGAGE,Verified,63000.0,fullypaid
170.87,debt_consolidation,Individual,13.99,170.87,5000.0,26575.0,0.0,0.0,4.0,C,11.0,71.2,23.0,670.0,674.0,FL,2_years,MORTGAGE,Source_Verified,150000.0,chargedoff
536.05,credit_card,Individual,5.32,2136.06,17800.0,17682.0,0.0,0.0,3.0,A,13.0,50.0,40.0,680.0,684.0,TX,2_years,MORTGAGE,Source_Verified,83000.0,fullypaid
366.43,debt_consolidation,Individual,19.52,366.43,9925.0,5655.0,0.0,1.0,4.0,E,9.0,54.4,15.0,660.0,664.0,MI,10+_years,MORTGAGE,Source_Verified,75000.0,chargedoff
686.77,debt_consolidation,Individual,14.33,1000.0,20000.0,11310.0,1.0,0.0,0.0,C,12.0,59.5,18.0,660.0,664.0,FL,10+_years,RENT,Verified,130000.0,chargedoff
236.34,debt_consolidation,Individual,8.38,236.33,7500.0,8881.0,0.0,0.0,0.0,B,9.0,68.8,19.0,670.0,674.0,OH,5_years,RENT,Source_Verified,42000.0,fullypaid
313.99,debt_consolidation,Individual,14.09,313.58,9175.0,9292.0,0.0,0.0,0.0,B,6.0,70.4,14.0,675.0,679.0,NJ,6_years,RENT,Verified,28000.0,fullypaid
