Name_of_Agency,Type_of_Travel_Insurance_Agencies,Distribution_Channel_of_Travel_Insurance_Agencies,Name_of_the_Travel_Insurance_Products,Claim_Status,Duration_of_Travel,Destination_of_Travel,Amount_of_Sales_of_Travel_Insurance_Policies,Commission_Received_for_Travel_Insurance_Agency,Age_of_Insured
EPX,Travel_Agency,Online,Cancellation_Plan,no,45,UNITED_STATES,27.0,0.0,24
ART,Airlines,Online,24_Protect,no,33,PHILIPPINES,3.98,1.39,48
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,55,"TAIWAN,_PROVINCE_OF_CHINA",20.0,0.0,36
C2B,Airlines,Online,Gold_Plan,no,33,SINGAPORE,27.0,6.75,34
EPX,Travel_Agency,Online,Cancellation_Plan,no,82,INDONESIA,10.0,0.0,26
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,23,MALAYSIA,21.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,17,HONG_KONG,14.0,0.0,68
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,4,"TAIWAN,_PROVINCE_OF_CHINA",26.0,0.0,32
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,13,THAILAND,31.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,21,VIETNAM,24.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,yes,18,SINGAPORE,60.0,15.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,5,VIETNAM,13.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,33,AUSTRALIA,29.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,4,THAILAND,18.0,6.3,34
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,191,NEW_ZEALAND,148.5,89.1,67
EPX,Travel_Agency,Online,Cancellation_Plan,no,10,HONG_KONG,22.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,67,SINGAPORE,53.5,13.38,34
EPX,Travel_Agency,Online,Cancellation_Plan,no,1,MALAYSIA,14.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,61,SINGAPORE,83.5,20.88,24
C2B,Airlines,Online,Bronze_Plan,no,46,SINGAPORE,-26.5,6.63,33
JZI,Airlines,Online,Basic_Plan,no,22,HONG_KONG,35.0,12.25,33
JZI,Airlines,Online,Basic_Plan,no,33,CHINA,-26.0,9.1,72
C2B,Airlines,Online,Bronze_Plan,no,24,SINGAPORE,39.0,9.75,23
C2B,Airlines,Online,Annual_Silver_Plan,no,367,SINGAPORE,187.85,46.96,30
EPX,Travel_Agency,Online,Cancellation_Plan,no,33,FRANCE,20.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,215,SINGAPORE,19.8,11.88,31
EPX,Travel_Agency,Online,Cancellation_Plan,no,59,SWITZERLAND,45.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,127,MALAYSIA,49.5,29.7,31
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,86,CANADA,112.0,0.0,28
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,16,JAPAN,0.0,0.0,31
JZI,Airlines,Online,Basic_Plan,no,11,INDONESIA,18.0,6.3,27
JZI,Airlines,Online,Basic_Plan,no,70,UNITED_KINGDOM,49.0,17.15,26
EPX,Travel_Agency,Online,Cancellation_Plan,no,28,ALBANIA,80.0,0.0,36
C2B,Airlines,Online,Annual_Silver_Plan,no,367,SINGAPORE,161.0,40.25,50
JZI,Airlines,Online,Basic_Plan,no,4,INDONESIA,18.0,6.3,41
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,15,MALAYSIA,20.0,0.0,21
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,40,SINGAPORE,30.0,0.0,29
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,46,UNITED_KINGDOM,192.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,11,SINGAPORE,46.15,11.54,39
C2B,Airlines,Online,Bronze_Plan,no,22,SINGAPORE,29.5,7.38,29
JZI,Airlines,Online,Basic_Plan,no,41,CHINA,35.0,12.25,47
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,11,MALAYSIA,0.0,17.82,39
JZI,Airlines,Online,Basic_Plan,no,72,THAILAND,18.0,6.3,57
EPX,Travel_Agency,Online,Cancellation_Plan,no,17,MYANMAR,12.0,0.0,36
C2B,Airlines,Online,Annual_Silver_Plan,no,373,SINGAPORE,252.85,63.21,31
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,21,AUSTRALIA,81.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,84,UNITED_STATES,79.0,0.0,24
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,112,NEPAL,74.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,23,MALAYSIA,29.7,17.82,31
EPX,Travel_Agency,Online,Cancellation_Plan,no,24,THAILAND,10.0,0.0,23
EPX,Travel_Agency,Online,Cancellation_Plan,no,12,FRANCE,80.0,0.0,36
